,Icum1,Icum2,Icum3,Icum4,Icum5
25,83384.65095716775,56105.5400184244,56264.712322331034,68780.4967693713,54282.114423286686
26,54257.073245543004,51708.268560907454,61794.980113987775,71572.76197746563,79117.60789062335
27,58059.27580299246,48480.83488590433,87560.24183162746,58500.52762834368,68744.28656108062
28,58214.278778499895,58809.18585224938,59685.99687158245,54283.418969676015,88903.87449729443
29,46385.015307596645,96558.71298256019,50848.37271030439,83398.56932284347,53839.22116867965
30,32128.146914152625,82909.8374269934,72017.51445321397,81024.42133049607,66970.9155729843
31,20537.651384162324,97530.72053342703,88963.38064491295,95258.48075823505,69141.04989370951
32,53267.361263358725,69215.14219077458,67516.21333901816,89956.23776646324,44774.33196758759
33,59717.66682903817,76281.16173029787,46093.88532112128,53639.318756419714,88999.80149124148
34,48678.87644300254,82585.94977340897,55946.24602977797,81130.14489504824,54605.022231494964
35,72762.60610172738,47898.3081108596,57894.027050165336,74885.307848756,64983.277488283675
36,48840.948044633136,67080.10384376712,81127.20911337475,59281.57966925117,62360.865014895375
37,64515.371670788714,37072.58556927581,73529.61513896957,68573.17926964637,84150.73743317851
38,53432.56164614577,55242.518058575995,58557.654363505826,75845.53715900128,74718.07936227493
39,37615.169254888024,70713.2282385133,73855.74996603632,58703.97297403126,88364.99843223288
40,58653.583284720255,92798.2278138084,73708.4757187625,33408.37494136388,77923.11974477817
41,75585.94290329659,49401.422114193185,78329.90102187725,52786.524263275256,63930.11865394591
42,52435.33355196534,67681.50824213745,78681.4838407055,52275.37987454003,67225.024645085
43,80231.77096627666,72709.60858015557,61188.2171541047,47398.470220297204,58305.07674664842
44,50926.798176917226,82328.6486922804,80779.79764697135,47387.89500323797,62241.359129566496
45,87184.85553583219,70120.17404213385,59669.19064472352,57578.059647985196,47269.72026908486
46,70205.61664906538,58385.26909966737,51596.92971619149,90253.39534214805,52127.15224526508
47,67925.92874394653,66419.4644736583,37785.73342741383,85955.55576774893,69087.32722754669
48,80594.75818436498,71864.35119986278,48342.56843552368,64910.35238047395,54308.586618114525
49,65516.72539551369,56361.74933853087,60002.22272524059,77703.91996737148,56580.65076440251
50,82733.76997523979,63819.43537149949,65967.55223063582,58575.465136951425,48269.9474120923
51,70068.55162355155,56485.303223032766,52402.11491166432,88377.38897940666,54077.18301668821
52,56371.71028806127,70653.0759516499,56130.65278451271,61673.3659500014,70444.68151837774
53,74832.60661069189,53640.288950704904,62090.9313211427,71453.2817343236,54830.60827813884
54,78863.59182773613,59434.40751803302,51789.01514127588,71683.02148999722,56355.51977496838
55,72389.64367672759,65985.29683299933,68147.57165907779,47013.4635416719,63972.26363168596
56,63839.53460162081,63137.441865376255,76089.88290653504,51113.04858177766,62194.01993913224
57,62794.72124368676,78466.36570628587,70690.12361294132,46014.91724221075,61480.91547393665
58,52267.995298984875,59346.087639788115,69978.53393098466,57304.4759815069,78693.81689602126
59,56782.79943127286,56245.187368081846,76257.0036854839,51711.49088985366,78120.2478688512
60,59596.313605898846,51709.467435446386,73345.26445047022,52881.35069677342,82587.69524409302
61,66929.58504802824,52025.64649159488,63288.426730108695,65860.88509106592,66855.14321862324
62,53095.62391008234,58131.2046410571,68059.65616975298,73906.69943885312,62691.20234975709
63,56386.30173570546,72548.49001615267,67740.32425299395,59532.25513589782,58826.69783429479
64,56386.30173570546,72548.49001615267,67740.32425299395,59532.25513589782,58826.69783429479
65,67221.0162854086,48723.86598700692,71167.84148882028,64428.5396442906,64960.53859765916
66,65353.81129431676,57228.09488690372,63306.98886127665,71674.66863740898,57116.518385291296
67,63785.81669219,51988.71867117754,72777.56112033264,62522.30018712954,64421.833471423684
68,61340.936622041525,57331.23283546154,66752.95078612026,65816.23380655941,62545.601578976035
69,60753.80621954032,59865.819977898806,61820.10528219928,69468.87276882603,61864.22963608136
70,57861.43101120216,69923.67944832015,65955.81050455858,57776.48523853787,62790.32348029054
